date,global_new_cases,global_new_cases_smoothed,global_new_deaths,global_new_deaths_smoothed
2020-01-01,NULL,NULL,NULL,NULL
2020-01-02,NULL,NULL,NULL,NULL
2020-01-03,NULL,NULL,NULL,NULL
2020-01-04,3,NULL,0,NULL
2020-01-05,0,NULL,3,NULL
2020-01-06,3,NULL,0,NULL
2020-01-07,0,NULL,0,NULL
2020-01-08,1,NULL,0,NULL
2020-01-09,0,1.00000004,0,0.5
2020-01-10,0,1.02380957,0,0.42857143
2020-01-11,0,0.57142858,0,0.42857143
2020-01-12,41,6.42857115,1,0.14285715
2020-01-13,1,6.1428573,0,0.14285715
2020-01-14,5,6.85714303,0,0.14285715
2020-01-15,0,6.71428588,0,0.14285715
2020-01-16,0,6.71428588,0,0.14285715
2020-01-17,4,7.40476145,1,0.2857143
2020-01-18,4,8.07142815,0,0.2857143
2020-01-19,79,13.5000006,1,0.2857143
2020-01-20,78,24.47619115,1,0.42857143
2020-01-21,93,36.9523823,2,0.71428573
2020-01-22,148,58.1190489,11,2.2857144
2020-01-23,133,76.28571575,1,2.4285715
2020-01-24,271,115.35713863,8,3.4285715
2020-01-25,473,182.26191053,16,5.714286
2020-01-26,705,270.85715731,17,8.00000043
2020-01-27,790,371.57144017,26,11.57142943
2020-01-28,1779,612.26193343,49,18.28571443
2020-01-29,1473,801.78568584,2,16.99999943
2020-01-30,1758,1036.09528118,38,22.28571443
2020-01-31,2006,1283.85722867,42,27.14285643
2020-02-01,2118,1518.97621922,47,31.57142858
2020-02-02,2617,1791.90470492,106,44.28571573
2020-02-03,2836,2084.09518123,64,49.71428573
2020-02-04,3247,2293.80958113,67,52.28571288
2020-02-05,3942,2646.52392431,72,62.28571288
2020-02-06,3712,2925.64278594,70,66.85714288
2020-02-07,3159,3090.40470472,85,73.00000288
2020-02-08,3401,3273.71434295,87,78.71428573
2020-02-09,2699,3285.30958083,100,77.85714715
2020-02-10,2993,3307.73798088,107,83.99999715
2020-02-11,2479,3197.92868592,100,88.71429
2020-02-12,2030,2924.7619764,5,79.14286
2020-02-13,15168,4561.33333332,253,105.28571715
2020-02-14,4068,4691.14298591,152,114.85714715
2020-02-15,2664,4585.85702853,142,122.71428715
2020-02-16,2040,4491.71442921,105,123.4285743
2020-02-17,2063,4358.85700094,98,122.1428543
2020-02-18,1904,4276.71428678,139,127.7142843
2020-02-19,1799,4243.714428,113,143.1428643
2020-02-20,424,2137.42845806,125,124.8571386
2020-02-21,994,1698.28580039,0,103.1428586
2020-02-22,1068,1470.28574106,209,112.71428718
2020-02-23,990,1320.28580293,6,98.57142861
2020-02-24,516,1099.28573325,159,107.28571293
2020-02-25,798,941.28575615,79,98.7142872
2020-02-26,845,804.99996413,62,91.42856845
2020-02-27,1089,899.99999398,38,79.00000143
2020-02-28,1202,929.7142822,57,87.14285443
2020-02-29,1816,1036.57141348,64,66.42856985
2020-03-01,2002,1181.1428547,55,73.42857118
2020-03-02,1942,1384.85715385,68,60.42857303
2020-03-03,1796,1527.52374655,68,58.85714163
2020-03-04,2215,1723.69049207,87,62.42856985
2020-03-05,2165,1877.42852047,89,69.71428443
2020-03-06,2494,2062.04756301,98,75.57142593
2020-03-07,3250,2266.97623601,102,81.00000041
2020-03-08,6350,2888.38101593,138,92.857144
2020-03-09,3272,3077.80949578,223,114.99999878
2020-03-10,3861,3373.07144579,173,130.00000134
2020-03-11,3928,3618.02392597,269,155.99999727
2020-03-12,6008,4167.30950897,305,186.85714164
2020-03-13,6743,4774.45248447,320,218.57142774
2020-03-14,7320,5353.97613176,401,261.28570999
2020-03-15,29308,8635.78571153,963,379.1428563
2020-03-16,8565,9388.14291602,564,427.85713511
2020-03-17,10354,10314.33337062,588,487.14284215
2020-03-18,11529,11405.11895943,637,539.71426958
2020-03-19,14172,12571.54773029,792,609.28569207
2020-03-20,17032,14041.6430661,823,681.14283372
2020-03-21,20492,15921.76207365,1064,775.8571316
2020-03-22,89124,24466.90458941,5229,1385.28569413
2020-03-23,22443,26449.47589308,1193,1475.14281727
2020-03-24,26536,28761.19029233,1236,1567.71423508
2020-03-25,30003,31400.33331576,1496,1690.42856831
2020-03-26,31274,33843.49999657,1598,1805.57143782
2020-03-27,37991,36837.59527615,1830,1949.42856167
2020-03-28,44649,40288.59472413,2259,2120.1427967
2020-03-29,158470,50195.2140371,12672,3183.42854089
2020-03-30,43204,53161.02393295,2419,3358.57143213
2020-03-31,49018,56386.45300913,2900,3596.28572766
2020-04-01,43898,58373.02433281,3026,3814.85719429
2020-04-02,52032,61339.31005604,3421,4075.28580185
2020-04-03,58901,64328.23814583,3795,4356.00001013
2020-04-04,60785,66635.21407284,4131,4623.42861186
2020-04-05,158397,66620.47563651,17150,5263.14292971
2020-04-06,59771,68989.07159526,4400,5546.14299701
2020-04-07,54651,69776.42803521,4878,5828.7143308
2020-04-08,60368,72129.28637884,4726,6071.66665782
2020-04-09,63571,73777.71388161,5292,6339.09516095
2020-04-10,69610,75307.57060721,5704,6611.78596697
2020-04-11,72686,77007.71417219,5608,6822.76198262
2020-04-12,143412,74866.99938945,17071,6811.47608566
2020-04-13,64312,75515.7145601,5501,6968.7618633
2020-04-14,57658,75945.2849854,5209,7016.02389018
2020-04-15,57141,75486.59522638,5377,7108.85709247
2020-04-16,62461,75328.02444535,5867,7190.99997831
2020-04-17,67012,74956.14364061,6215,7263.99991116
2020-04-18,73957,75137.52333769,7316,7508.00004501
2020-04-19,124254,72400.30916908,14468,7136.14281828
2020-04-20,66360,72692.92879182,5087,7076.99994657
2020-04-21,64586,73682.64256538,5180,7072.85716718
2020-04-22,65251,74840.14219999,5465,7085.42852837
2020-04-23,66868,75469.71437747,5909,7091.52379237
2020-04-24,72469,76249.28618019,5584,7001.42865131
2020-04-25,89145,78419.00002826,5489,6740.40486666
2020-04-26,115307,77140.85618834,11690,6343.59516956
2020-04-27,76030,78522.28617319,4954,6324.64298617
2020-04-28,65238,78615.42876707,4637,6247.11897585
2020-04-29,65101,78593.99941383,4933,6171.07150323
2020-04-30,70626,79130.85757876,5456,6106.19045666
2020-05-01,75957,79629.14321834,5726,6126.50005794
2020-05-02,83731,78855.71326317,5596,6141.78583215
2020-05-03,108743,77917.9999843,9830,5876.07150024
2020-05-04,77573,78138.42793715,4794,5853.26196726
2020-05-05,76371,79728.85760011,4450,5826.50006162
2020-05-06,72591,80798.85730974,4424,5753.833242
2020-05-07,77516,81954.71391188,6041,5837.38101659
2020-05-08,84826,83236.45136632,5791,5846.71425928
2020-05-09,88969,82880.85805415,5552,5840.47610694
2020-05-10,107323,82803.00059807,7866,5559.88091439
2020-05-11,85706,84191.4278658,5168,5613.14271028
2020-05-12,70334,83663.71407681,4191,5576.14295213
2020-05-13,75931,84010.85807282,4132,5534.42863529
2020-05-14,82894,84789.33405422,5098,5399.71417099
2020-05-15,83845,84771.95207199,4925,5275.99995843
2020-05-16,98815,86463.69029674,5501,5268.7142358
2020-05-17,112741,87255.97539396,7146,5165.85706449
2020-05-18,93696,88416.7854265,4688,5097.28569325
2020-05-19,76644,89240.23791417,3930,5060.00000211
2020-05-20,91701,91493.66532204,4306,5084.8570028
2020-05-21,100232,93953.42979547,5094,5084.28567566
2020-05-22,105370,97028.4287516,5004,5095.57138089
2020-05-23,103881,97752.14377387,4931,5014.14284672
2020-05-24,124858,99483.14413092,6790,4963.28570361
2020-05-25,95475,99737.28533004,4225,4897.14287403
2020-05-26,91086,101800.42845078,4056,4915.14288218
2020-05-27,87109,101144.42883739,4146,4892.2856576
2020-05-28,96445,100603.42889315,4597,4821.28573855
2020-05-29,105497,100621.57079207,5081,4832.28578885
2020-05-30,117841,102615.85665965,5293,4884.00011109
2020-05-31,135117,104081.42707278,5967,4766.42855108
2020-06-01,125084,108311.28567748,4635,4824.99998658
2020-06-02,107112,110600.71551476,4152,4838.71420938
2020-06-03,96780,111982.28567153,4231,4850.85715775
2020-06-04,121579,115572.85894005,5238,4942.42855385
2020-06-05,124006,118217.00016105,5435,4993.00000835
2020-06-06,124543,119174.42807062,5467,5017.85710671
2020-06-07,144801,120557.85780492,5721,4982.71430748
2020-06-08,123249,120295.71427897,5001,5035.00001506
2020-06-09,107746,120386.28752267,4037,5018.57141162
2020-06-10,106507,121775.85677972,4521,5059.99998234
2020-06-11,128974,122832.286276,5322,5071.99987235
2020-06-12,138097,124845.28542373,5475,5077.7142046
2020-06-13,139072,126920.8575819,5444,5074.42847532
2020-06-14,157714,128765.57119023,5467,5038.14295427001
2020-06-15,130201,129758.71468723,4717,4997.57139841
2020-06-16,116521,131012.28489457,4394,5048.57143911
2020-06-17,120729,133043.99990928,6017,5262.28570164
2020-06-18,179421,140250.71409911,5508,5288.8571063
2020-06-19,144450,141158.28418202,5591,5305.42865174
2020-06-20,140018,141293.42859938,5517,5315.85702822
2020-06-21,197644,146997.71430577,5698,5348.85706943
2020-06-22,152308,150155.85716069,5048,5396.14283550001
2020-06-23,128045,151802.14267105,4078,5350.99986303
2020-06-24,138244,154304.28445243,4269,5101.28562975
2020-06-25,170081,152970.00025324,5529,5104.28558705
2020-06-26,176536,157553.71474588,5331,5067.14274239
2020-06-27,182223,163583.02152026,7011,5280.57147069
2020-06-28,209013,165207.16679561,5449,5245.00002397
2020-06-29,175516,168522.59736339,4970,5233.85726397
2020-06-30,155773,172483.75955607,4367,5275.14287349
2020-07-01,166706,176549.76071651,4851,5358.28581604
2020-07-02,181036,178114.76200387,5262,5320.14286408
2020-07-03,208023,182612.90302612,5325,5319.28573587
2020-07-04,210685,186678.85774161,5527,5107.28569013
2020-07-05,229608,189620.9960856,6060,5194.57148472
2020-07-06,187945,191396.56793603,5215,5229.571571
2020-07-07,164242,192606.42756501,4688,5275.42860423
2020-07-08,172968,193500.99908597,5033,5301.42851763
2020-07-09,210702,197738.9973969,5854,5386.0000569
2020-07-10,222028,199739.71551409,5906,5469.00005408
2020-07-11,218570,200866.14255057,5952,5529.71422468
2020-07-12,250396,203835.85473588,6137,5540.71421659
2020-07-13,215359,207752.14564206,5815,5626.42842515
2020-07-14,190628,211521.57536467,5145,5691.71448532
2020-07-15,188729,213773.14042283,5304,5730.42865104
2020-07-16,227124,216119.14410218,6165,5774.85721886
2020-07-17,239778,218654.85554604,6491,5858.42860453
2020-07-18,241803,221973.85627993,7200,6036.71423474
2020-07-19,269265,224669.42635695,6430,6078.57127067
2020-07-20,226068,226199.27985031,5981,6102.28566023
2020-07-21,200910,227668.14292351,5516,6155.28577102
2020-07-22,204804,229964.5670576,5567,6192.85710586
2020-07-23,243383,232287.28366959,7584,6395.57146514
2020-07-24,285219,238778.8553346,6491,6395.57152559
2020-07-25,277084,243819.00488997,6714,6326.14287812
2020-07-26,303821,248755.57111866,6928,6397.28571231
2020-07-27,247703,251846.28182327,6264,6437.71417088
2020-07-28,211206,253317.14583977,5536,6440.57139348
2020-07-29,223059,255925.00055351,5973,6498.57132353
2020-07-30,254496,257512.57449324,6318,6317.71437563
2020-07-31,293862,258747.28849674,7172,6414.99993463
2020-08-01,283541,259669.7078191,6601,6398.85721011
2020-08-02,324754,262660.14538828,6953,6402.42853855
2020-08-03,249017,262847.8547817,6574,6446.71414368
2020-08-04,218114,263834.7135392,5767,6479.71426904001
2020-08-05,212305,262298.42492716,5849,6462.00002957
2020-08-06,263309,263557.4292552,6823,6534.14283147
2020-08-07,281889,261847.00358975,7075,6520.28569982
2020-08-08,272656,260291.99994281,6628,6524.14288649
2020-08-09,340747,262576.71237894,6971,6526.71424845
2020-08-10,253516,263219.43267818,6464,6511.00011095
2020-08-11,212304,262389.42898205,5582,6484.57139213
2020-08-12,220898,263617.0008446,5534,6439.57153718
2020-08-13,280312,266046.0042083,6765,6431.28554805
2020-08-14,279096,265647.00150709,6834,6396.85717103
2020-08-15,284273,267306.56934647,6592,6391.71445676
2020-08-16,354499,269271.14186725,6913,6383.42842439
2020-08-17,241475,267551.0015296,5830,6292.85697597
2020-08-18,210777,267332.85410855,5422,6269.99985869
2020-08-19,220334,267252.28478685,5587,6277.5715305
2020-08-20,264466,264988.57152625,6457,6233.57142316
2020-08-21,271798,263945.9968657,6728,6218.42855023
2020-08-22,262817,260880.85526433,6134,6153.00001795
2020-08-23,351479,260449.42640893,6548,6100.85714150001
2020-08-24,245238,260987.00239839,5881,6108.14267724
2020-08-25,210744,260982.27761558,5176,6072.99986794
2020-08-26,217709,260607.28363349,5335,6037.02387944
2020-08-27,267255,261005.71780761,6377,6025.59520081
2020-08-28,271846,261012.57118943,6323,5967.73803219001
2020-08-29,267702,261710.42708244,5762,5914.59527342
2020-08-30,394215,267815.57850149,6621,5925.57144385
2020-08-31,256751,269460.28122403,5732,5904.33327773
2020-09-01,209583,269294.42037552,4748,5843.21433086
2020-09-02,254567,274559.85590862,5054,5802.61901564
2020-09-03,266126,274398.57038577,6150,5770.1904826
2020-09-04,277886,275261.42988684,6152,5745.78555554
2020-09-05,277270,276628.27960754,5646,5729.2380785
2020-09-06,442284,283495.28470409,6514,5713.71421769
2020-09-07,255752,283457.26322808,9109,6196.14278657
2020-09-08,214376,284146.47869739,6550,6453.57142747
2020-09-09,221256,279390.68886374,4611,6390.28567296
2020-09-10,246495,276592.4782377,4936,6216.85723426
2020-09-11,276331,276373.59537954,5828,6170.57135534001
2020-09-12,282947,277201.5228071,5628,6167.99985820001
2020-09-13,467097,280766.45427111,6579,6177.28568575001
2020-09-14,264279,281825.85550127,5217,5621.28584603
2020-09-15,228991,283913.71434706,4963,5394.57149662
2020-09-16,244954,287299.14251399,4725,5410.85705709
2020-09-17,278106,291815.00153956,5719,5522.71435665001
2020-09-18,291842,294030.86087254,5944,5539.28578989001
2020-09-19,286413,294525.99580866,5354,5500.14290223
2020-09-20,501156,299391.57434866,7120,5577.42856085
2020-09-21,264915,299482.43621069,4994,5545.57135226
2020-09-22,225803,299026.99468628,4457,5473.28567652
2020-09-23,251940,300024.99808102,4705,5470.42863033
2020-09-24,291305,301910.5688528,5344,5416.85720121
2020-09-25,286577,301158.43063035,5551,5360.71422948
2020-09-26,286993,301241.28087114,5504,5382.14284957
2020-09-27,496166,300528.43257895,7163,5388.28584149
2020-09-28,263426,300315.71277602,5073,5399.57148534
2020-09-29,223931,300048.28284834,4361,5385.85707237
2020-09-30,253886,300326.28914022,4603,5371.28563612
2020-10-01,290593,300224.57120151,5592,5406.71427436
2020-10-02,298043,301862.56901133,5617,5416.14292866
2020-10-03,294188,302890.42767365,5035,5349.14284081
2020-10-04,508808,304696.42721915,7290,5367.28570393
2020-10-05,272957,306057.99385254,4842,5334.28578484
2020-10-06,229823,306899.71651294,4510,5355.57156739
2020-10-07,272196,309515.63860789,4598,5354.85708775
2020-10-08,321252,313894.0053075,5447,5334.14284905
2020-10-09,314108,316189.56485844,5820,5363.14280359
2020-10-10,320238,319911.14617441,5223,5390.00005645
2020-10-11,634315,337840.71471508,7686,5446.57141582
2020-10-12,284827,339536.28516336,4630,5416.28557353
2020-10-13,253371,342900.42988817,4466,5409.99998049
2020-10-14,292388,345785.6660641,4420,5384.57143871
2020-10-15,314297,344792.00470025,4737,5283.14291491
2020-10-16,339222,348379.85605802,5400,5223.14295455
2020-10-17,341037,351351.1450558,5394,5247.57142764
2020-10-18,772962,371157.85415,9039,5440.85703491
2020-10-19,303580,373836.97595157,4825,5468.71430049
2020-10-20,273645,376733.26305259,4755,5510.00001012
2020-10-21,342730,383924.97052776,5056,5600.85716563
2020-10-22,370939,392016.66402699,5643,5730.28570668
2020-10-23,386150,398720.42671726,6070,5825.99997813
2020-10-24,391423,405918.42957629,5655,5863.28569504
2020-10-25,1022303,441538.57154385,11011,6144.99992795
2020-10-26,352021,448458.71691022,5407,6228.52383525
2020-10-27,303870,452776.57425647,4976,6260.0952189
2020-10-28,385701,458915.2849707,5494,6322.66674781
2020-10-29,417499,465566.71497818,6071,6383.71432016
2020-10-30,428492,471615.57264134,6324,6419.99995537
2020-10-31,437224,478158.56884449,6280,6509.28576527
2020-11-01,1201547,503764.86550569,14942,7070.57139216001
2020-11-02,379752,507726.42995163,5957,7149.14284557
2020-11-03,406820,522433.57321909,5607,7239.28570579
2020-11-04,413829,526451.85621625,6186,7338.14290616
2020-11-05,447972,530805.14060154,7059,7479.28568851001
2020-11-06,482035,538454.14712783,7560,7655.85725153
2020-11-07,490015,545995.71469212,7727,7862.57149824
2020-11-08,1237024,551063.85279726,18955,8435.85696477
2020-11-09,441125,559831.42375043,6414,8501.14280675
2020-11-10,396106,558300.86032559,6410,8615.85718006
2020-11-11,465225,565643.14474454,7146,8753.00008959
2020-11-12,512680,574887.14263029,8029,8891.57133667
2020-11-13,544349,583789.14581505,7912,8941.85709731
2020-11-14,537604,590587.5615038,8189,9007.85698361001
2020-11-15,1152026,578444.99686308,21320,9345.71434692001
2020-11-16,478280,583752.86097636,8040,9577.99981284
2020-11-17,420211,587196.42594352,6774,9630.00000589
2020-11-18,473072,588317.43412987,7293,9650.9999843
2020-11-19,537894,591919.42290747,8929,9779.57129382
2020-11-20,544408,591927.85043725,9144,9955.57141474
2020-11-21,552670,594080.1415401,9354,10121.99990464
2020-11-22,1104097,587233.13631576,24000,10504.85705777
2020-11-23,483692,588006.29077142,8135,10519.85699632
2020-11-24,427111,588991.9925629,8108,10710.42856768
2020-11-25,482379,590321.5790492,8679,10908.42854788
2020-11-26,527370,588818.13711837,9242,10953.14284346
2020-11-27,584198,594502.4317507,9890,11059.71441188
2020-11-28,517623,589495.71299633,9051,11016.42852784
2020-11-29,999639,574573.13485448,23070,10882.14280608
2020-11-30,473479,573114.15085156,7932,10853.14278931
2020-12-01,433213,573985.85215423,8004,10838.28584042
2020-12-02,482751,574039.00183343,8728,10845.28593605
2020-12-03,570463,580195.14253455,9883,10936.85726288
2020-12-04,594921,581727.00118499,10508,11025.14299763
2020-12-05,597492,593136.85093681,10362,11212.42861086
2020-12-06,1048340,600094.14112611,24027,11349.14278255
2020-12-07,517256,606348.01345639,8689,11457.28588707
2020-12-08,464342,610794.99925006,7776,11424.71429876
2020-12-09,514331,615306.4220329,9206,11493.00007748
2020-12-10,602013,619813.57226709,9749,11473.8572299
2020-12-11,599907,620525.86063188,11166,11567.85729767
2020-12-12,585118,618758.15323684,10090,11529.00009693
2020-12-13,1111357,627760.56687264,25785,11780.14291016
2020-12-14,525364,628918.85275378,9005,11825.28586823
2020-12-15,465681,629110.14607424,8503,11929.14301475
2020-12-16,544973,633487.57611905,9461,11965.5714525
2020-12-17,574310,629529.98711532,10435,12063.57142245
2020-12-18,641986,635541.28925721,11013,12041.71443463
2020-12-19,643255,643846.56204334,11384,12226.5712488
2020-12-20,1146730,648899.86086933,25889,12241.42849239
2020-12-21,519457,648055.99304132,9556,12320.14266454
2020-12-22,477276,649712.43227331,8667,12343.57150465
2020-12-23,526362,647053.71978123,9633,12368.14286121
2020-12-24,592422,649641.13971008,10865,12429.57138106
2020-12-25,586634,641733.71542173,10821,12402.14286619
2020-12-26,544266,627592.43747231,10055,12212.28566776
2020-12-27,871395,588258.85849384,22194,11684.42856548
2020-12-28,406866,572174.43606396,8178,11487.57151416
2020-12-29,445595,567648.57469875,8944,11527.14286592
2020-12-30,513461,565805.56570233,10137,11599.14297727
2020-12-31,652693,574415.72542228,11956,11754.99995466
2021-01-01,660926,585028.86885213,12356,11974.28565584
2021-01-02,590642,591653.9890654,11269,12147.7143141
2021-01-03,976289,606638.85707655,23455,12327.85701454
2021-01-04,517437,622434.70691838,9153,12467.14280705
2021-01-05,522302,633392.86432751,8868,12456.28564786
2021-01-06,570358,641520.99819832,10328,12483.57144847
2021-01-07,685002,646136.57084949,12299,12532.57122278
2021-01-08,694412,650920.2773377,12470,12548.85711445
2021-01-09,718622,669203.15271343,13281,12836.28576593
2021-01-10,1298253,715197.98866636,25950,13192.71452575
2021-01-11,608938,728269.58363364,11404,13514.28572084
2021-01-12,541013,730942.58520958,10675,13774.69047042
2021-01-13,564455,730099.2883649,11818,13987.80958759
2021-01-14,628047,721962.85073148,13339,14136.47633212
2021-01-15,622730,711722.57704442,13739,14318.23798568
2021-01-16,616200,697090.85463115,13263,14314.78587878
2021-01-17,1270390,693110.41799962,26732,14426.19053182
2021-01-18,531390,682032.13699401,12058,14519.50009615
2021-01-19,469186,671771.1502806,11225,14596.28551564
2021-01-20,472398,658620.1476867,11744,14585.71430972
2021-01-21,516608,642700.29304675,12966,14532.42861437
2021-01-22,553866,632862.57134434,14171,14594.14282392
2021-01-23,527235,620153.28443488,13614,14644.28561346
2021-01-24,1154857,603648.57034222,27937,14816.42856468
2021-01-25,452777,592418.1481825,11737,14770.57138429
2021-01-26,380168,579701.28962008,11062,14747.28569211
2021-01-27,421979,572498.57659835,11501,14712.57138438
2021-01-28,476128,566715.71705813,13723,14820.71426895
2021-01-29,493716,558122.85968487,13548,14731.71411761
2021-01-30,474444,550581.28953129,13185,14670.42841833
2021-01-31,1035153,533480.71985626,25898,14379.1427712
2021-02-01,397361,525564.14001042,10921,14262.57122449
2021-02-02,330966,518535.2812486,9862,14091.14286109
2021-02-03,373863,511661.57774891,10626,13966.14272685
2021-02-04,414639,502877.43326881,11821,13694.42845887
2021-02-05,401555,489711.56046479,11790,13443.28578471
2021-02-06,411362,480699.86059383,11014,13133.14288603
2021-02-07,834344,452012.86087783,23248,12754.57132145
2021-02-08,340192,443845.86125943,9765,12589.42853226
2021-02-09,293979,438561.99663693,8452,12388.00012251
2021-02-10,308923,429284.85344877,9318,12201.14294222
2021-02-11,354140,420642.14297779,10572,12022.71416867
2021-02-12,372843,416540.42638126,10677,11863.71431523
2021-02-13,366687,410158.28358028,10862,11842.00004572
2021-02-14,682733,388499.57078992,21839,11640.71416272
2021-02-15,291063,381481.14406824,9418,11591.14286367
2021-02-16,257429,376259.71138959,7761,11492.42858459
2021-02-17,289088,373426.14480976,7688,11259.57152617
2021-02-18,319181,368431.99652762,8198,10920.42859737
2021-02-19,332673,362693.43106277,9137,10700.42864824
2021-02-20,331702,357695.56882636,9295,10476.57139552
2021-02-21,652098,353319.14012511,16928,9775.00017028
2021-02-22,301587,354822.56881091,7760,9538.14261202
2021-02-23,266459,356112.57055201,7147,9450.42857595
2021-02-24,297461,357308.71697133,7573,9434.0001876
2021-02-25,362073,363436.14169386,8310,9449.99987668
2021-02-26,370333,368816.14147416,8729,9391.71445809
2021-02-27,367218,373889.85762933,9432,9411.30947333
2021-02-28,695628,380108.43129543,15049,9142.88098157
2021-03-01,313641,381830.42331718,7512,9107.45244252
2021-03-02,269829,382311.85787998,6579,9026.30953434001
2021-03-03,311577,384328.42781098,7182,8970.4524935
2021-03-04,357633,383694.14097207,7784,8895.30948317
2021-03-05,377313,384691.28177116,8789,8903.85708112
2021-03-06,375113,385819.14200818,7907,8685.99997558
2021-03-07,730161,390752.42647313,14722,8639.28581336
2021-03-08,319921,391649.57405124,7043,8572.28585028
2021-03-09,322181,399128.43598508,6690,8588.14278536001
2021-03-10,311916,399176.85381697,6776,8530.14279304
2021-03-11,385424,403146.99803229,8018,8563.57141967
2021-03-12,404860,407082.28818115,9005,8594.42861205
2021-03-13,404840,411328.99313952,8446,8671.4285331
2021-03-14,811732,422982.00667639,14698,8667.99980396
2021-03-15,349616,427224.13618956,7303,8705.14286373
