date,global_people_fully_vaccinated_per_hundred,global_people_fully_vaccinated_per_hundred_weighted
2020-01-01,NULL,NULL
2020-01-02,NULL,NULL
2020-01-03,NULL,NULL
2020-01-04,NULL,NULL
2020-01-05,NULL,NULL
2020-01-06,NULL,NULL
2020-01-07,NULL,NULL
2020-01-08,NULL,NULL
2020-01-09,NULL,NULL
2020-01-10,NULL,NULL
2020-01-11,NULL,NULL
2020-01-12,NULL,NULL
2020-01-13,NULL,NULL
2020-01-14,NULL,NULL
2020-01-15,NULL,NULL
2020-01-16,NULL,NULL
2020-01-17,NULL,NULL
2020-01-18,NULL,NULL
2020-01-19,NULL,NULL
2020-01-20,NULL,NULL
2020-01-21,NULL,NULL
2020-01-22,NULL,NULL
2020-01-23,NULL,NULL
2020-01-24,NULL,NULL
2020-01-25,NULL,NULL
2020-01-26,NULL,NULL
2020-01-27,NULL,NULL
2020-01-28,NULL,NULL
2020-01-29,NULL,NULL
2020-01-30,NULL,NULL
2020-01-31,NULL,NULL
2020-02-01,NULL,NULL
2020-02-02,NULL,NULL
2020-02-03,NULL,NULL
2020-02-04,NULL,NULL
2020-02-05,NULL,NULL
2020-02-06,NULL,NULL
2020-02-07,NULL,NULL
2020-02-08,NULL,NULL
2020-02-09,NULL,NULL
2020-02-10,NULL,NULL
2020-02-11,NULL,NULL
2020-02-12,NULL,NULL
2020-02-13,NULL,NULL
2020-02-14,NULL,NULL
2020-02-15,NULL,NULL
2020-02-16,NULL,NULL
2020-02-17,NULL,NULL
2020-02-18,NULL,NULL
2020-02-19,NULL,NULL
2020-02-20,NULL,NULL
2020-02-21,NULL,NULL
2020-02-22,NULL,NULL
2020-02-23,NULL,NULL
2020-02-24,NULL,NULL
2020-02-25,NULL,NULL
2020-02-26,NULL,NULL
2020-02-27,NULL,NULL
2020-02-28,NULL,NULL
2020-02-29,NULL,NULL
2020-03-01,NULL,NULL
2020-03-02,NULL,NULL
2020-03-03,NULL,NULL
2020-03-04,NULL,NULL
2020-03-05,NULL,NULL
2020-03-06,NULL,NULL
2020-03-07,NULL,NULL
2020-03-08,NULL,NULL
2020-03-09,NULL,NULL
2020-03-10,NULL,NULL
2020-03-11,NULL,NULL
2020-03-12,NULL,NULL
2020-03-13,NULL,NULL
2020-03-14,NULL,NULL
2020-03-15,NULL,NULL
2020-03-16,NULL,NULL
2020-03-17,NULL,NULL
2020-03-18,NULL,NULL
2020-03-19,NULL,NULL
2020-03-20,NULL,NULL
2020-03-21,NULL,NULL
2020-03-22,NULL,NULL
2020-03-23,NULL,NULL
2020-03-24,NULL,NULL
2020-03-25,NULL,NULL
