country,avg_stringency_index,volatility_stringency_index
Venezuela,55.2014416058394,34.0493882513957
Palestine,51.6681478102191,32.9879680727812
Argentina,52.4290967153283,31.8405224425049
Dominican Republic,45.0416605839417,31.7664033774887
Bangladesh,49.9733941605837,31.3222640377556
Honduras,62.8477007299273,31.2540948360948
Kuwait,48.5423266423363,31.1563650256845
Cuba,48.0125547445256,30.9211850778387
Jamaica,53.9798083941606,30.0642122183547
Kazakhstan,51.2412956204381,29.9531185158092
Ireland,42.542947080292,29.9288727775707
Jordan,41.2602189781026,29.7990133719694
Chile,51.3869251824816,29.7707812923353
Oman,46.2879105839414,28.7266889972463
Panama,49.9746259124089,28.4298064509256
Georgia,43.5170255474453,28.2308730465605
Trinidad and Tobago,52.1392791970804,28.1632231371126
Mongolia,42.9620620437957,28.0015716020083
Gabon,47.462682481752,27.9702704223762
Bolivia,42.2929197080294,27.9018433304895
United Kingdom,43.0688686131388,27.874508005111
Puerto Rico,42.5040602189779,27.8046662690031
Libya,56.7758759124084,27.7592588455133
Bhutan,50.683649635036,27.6960788448541
Greece,52.5445711678833,27.4123331273927
Suriname,54.2474817518253,27.3853537639354
Sudan,29.4463594890512,27.290054775631
Mauritius,34.3061313868615,27.2261777769915
Botswana,36.4909306569344,27.0969639009438
Belize,48.0163047445256,27.0802340380639
Canada,50.3112226277369,27.0685577655776
Lebanon,51.8631386861317,26.7571528439244
Peru,53.6149270072996,26.6229178677641
Romania,44.3234489051097,26.5800018134816
Malaysia,49.1962226277371,26.5405407266973
Algeria,48.3677281021899,26.4241626771766
Ukraine,41.4953832116791,26.2051124092738
Portugal,43.6999178832115,26.1825209828253
Slovenia,40.5812135036499,26.1462274549163
Seychelles,46.046295620438,26.0976284714872
Cambodia,45.1215693430653,26.0924503383304
Cyprus,45.0960675182481,26.0607203920477
Madagascar,37.5718521897812,26.0433075276012
Colombia,50.6651459854015,26.0289930509819
Turkey,42.1253649635036,26.0086016690618
Germany,44.0421167883215,25.9177687341011
Paraguay,43.6799178832119,25.9093121972013
New Zealand,34.6858485401464,25.6161027375738
Ecuador,47.7392609489051,25.555428866827
Netherlands,42.8969251824821,25.4040110653425
Sri Lanka,51.2166788321168,25.2052432160611
Israel,43.2834032846709,25.1723378545708
Poland,39.7922901459854,25.1543018380648
Moldova,41.1625729927007,25.0806686558187
Bahamas,52.2950000000007,25.0225067930846
Morocco,53.7955930656931,24.8646838733754
Italy,52.2842427007303,24.798892451543
Nepal,51.1864142335768,24.7911549112524
Eswatini,48.5836587591242,24.7365386191544
Hungary,36.5428923357664,24.624010833459
Guyana,52.1991423357664,24.4862665449309
Iraq,58.3804744525547,24.4346235548625
El Salvador,41.4094981751828,24.401051051993
Lithuania,36.0194160583943,24.3583104591805
Afghanistan,27.3945802919708,24.2996764622642
Slovakia,38.9798540145987,24.2131049307939
Mexico,43.991204379562,24.2067784651798
Cape Verde,48.1573631386859,24.1923691104778
Sweden,36.6893613138686,24.1723906196199
Egypt,43.2730383211682,24.1498400645574
France,42.2725091240879,24.1221512667311
Costa Rica,43.3070802919704,24.0625611935542
Australia,47.1970255474452,24.0615224754922
South Africa,43.8552919708032,24.0540431503331
Eritrea,61.9883302919704,24.0388751863157
Uganda,53.7644069343067,24.0364779673014
San Marino,36.4438686131388,24.0213387442459
Bahrain,37.7930291970806,23.9908473632817
Philippines,58.4818613138689,23.9094304010591
Laos,46.1412135036497,23.8733561940709
Uzbekistan,38.6630565693432,23.8483760043763
Gambia,32.8836496350364,23.8142803825423
Albania,41.7821076642336,23.8140622328184
Spain,44.9589689781023,23.7034570188356
Chad,36.3136222627737,23.6966360389253
Lesotho,43.8956660583942,23.5625891762421
Saudi Arabia,45.5713229927011,23.5624495703407
South Sudan,40.3363594890512,23.5001476683276
East Timor,36.2371532846714,23.4320494783618
India,57.8651916058397,23.3252607567338
Belgium,39.0472810218978,23.311801602842
Serbia,37.3267153284676,23.3096551883579
Fiji,54.0237408759123,23.2261277780831
Qatar,52.4903649635036,23.2139009419849
Vanuatu,29.2454835766425,23.1987116502552
Uruguay,37.4628923357664,23.1852813712927
Norway,35.5503010948908,22.9944573349409
Angola,51.6217335766424,22.9301392004052
Denmark,35.3773083941607,22.9059199454579
Czechia,39.4871989051097,22.8720421767251
Guam,43.7255474452555,22.7106221616543
Nigeria,40.781186131387,22.5992704342985
Kosovo,48.400200729927,22.5926150773373
Kyrgyzstan,46.0175273722632,22.493852521917
Zimbabwe,53.7514051094889,22.4890708522066
Switzerland,36.358056569343,22.3840060594581
Brazil,48.5425821167885,22.167254639627
Tunisia,49.3692153284668,22.1552326219889
Malta,39.9010218978102,22.1425031739563
Namibia,35.3172262773719,21.8526598313763
Congo,43.5310492700733,21.7661044958763
Guatemala,53.4575456204383,21.7470552312432
Barbados,47.8432390510948,21.6365057569635
Vietnam,54.6828010948905,21.5599794033467
