country,gdp_per_capita,total_cases_per_million
Afghanistan,1516.27331542969,5796.4683
Albania,15492.0673828125,119257.79
Algeria,11198.2333984375,5990.2515
Angola,5906.11572265625,3016.3298
Antigua and Barbuda,22321.869140625,98072.16
Argentina,22461.44140625,222763.39
Armenia,16057.0068359375,157840.31
Aruba,41273.61328125,410271.62
Australia,51090.26171875,452699
Austria,55867.18359375,671099.5
Azerbaijan,15094.2841796875,81251.586
Bahamas,34663.49609375,98422.305
Bahrain,51854.71484375,454275.94
Bangladesh,6263.00439453125,12116.045
Barbados,15417.296875,386371.7
Belarus,19092.111328125,108364.33
Belgium,53287.15234375,420915.84
Belize,9473.7060546875,177511.11
Benin,3435.17163085938,2037.573
Bermuda,81165.6484375,291175.2
Bhutan,11595.68359375,80918.555
Bolivia,8244.2353515625,100369.08
Bosnia and Herzegovina,16737.2265625,126151.01
Botswana,15518.6513671875,135538.2
Brazil,15093.46484375,179914.55
Brunei,58669.90234375,769806.8
Bulgaria,26961.291015625,196217.7
Burkina Faso,2158.8583984375,986.9813
Burundi,708.178283691406,4096.433
Cambodia,4533.8642578125,8099.5386
Cameroon,3723.5322265625,4535.0864
Canada,49296.37890625,124134.44
Cape Verde,7379.24755859375,124048.1
Cayman Islands,71353.890625,439491.7
Central African Republic,823.982177734375,3037.6392
Chad,1412.67077636719,417.33228
Chile,25886.12109375,276693.1
China,18187.841796875,69732.8
Colombia,15616.751953125,123725.08
Comoros,3245.76879882813,10919.562
Congo,3670.19970703125,4181.2036
Costa Rica,22070.921875,243796.45
Croatia,34302.34765625,348703.16
Curacao,23114.951171875,247547.88
Cyprus,44996.31640625,761750.6
Czechia,41052.34765625,454472.78
Democratic Republic of Congo,1132.65417480469,986.45496
Denmark,59935.12109375,584381.6
Djibouti,4989.40869140625,13798.247
Dominica,11463.59765625,240055.66
Dominican Republic,19338.015625,58865.52
East Timor,3943.09252929688,17132.854
Ecuador,10859.2177734375,60613.613
Egypt,12780.759765625,4582.0547
El Salvador,9396.013671875,32174.496
Equatorial Guinea,14918.296875,9497.939
Estonia,37711.8203125,455791.56
Eswatini,9058.5830078125,61821.89
Ethiopia,2381.16577148438,3998.2842
Fiji,12388.1083984375,75097.78
Finland,49275.15234375,271752.1
France,45904.41015625,607504.94
Gabon,13939.787109375,20186.773
Gambia,2113.61474609375,4789.355
Georgia,17078.341796875,491302.53
Germany,53969.625,457124.62
