country,life_expectancy,total_deaths_per_million
Afghanistan,65.6169967651367,197.09776
Albania,78.768798828125,1275.9874
Algeria,76.1288986206055,151.30595
American Samoa,72.7520980834961,702.9877
Andorra,84.0164031982422,1994.4307
Angola,64.2454986572266,54.35663
Anguilla,79.1194000244141,844.9514
Antigua and Barbuda,77.4832992553711,1572.4286
Argentina,75.8060989379883,2880.3354
Armenia,74.63330078125,3049.4155
Aruba,76.2257995605469,2708.921
Australia,82.7661972045898,963.1698
Austria,81.2958984375,2485.9128
Azerbaijan,74.125,1005.6038
Bahamas,74.491096496582,2135.6233
Bahrain,80.9921035766602,1001.6564
Bangladesh,74.2647018432617,174.34259
Barbados,75.6761016845703,2100.4236
Belarus,74.361198425293,775.95264
Belgium,81.1588973999023,2949.6262
Belize,72.1903991699219,1708.294
Benin,60.4751014709473,11.8463545
Bermuda,82.0615997314453,2547.397
Bhutan,72.7539978027344,26.891325
Bolivia,67.434196472168,1853.8304
Bonaire Sint Eustatius and Saba,78.1545028686523,1430.8647
Bosnia and Herzegovina,76.7771987915039,5119.193
Botswana,68.7487030029297,1148.0002
Brazil,74.8719024658203,3344.2822
British Virgin Islands,77.177001953125,1669.0137
Brunei,72.9170989990234,399.67148
Bulgaria,74.0342025756836,5679.429
Burkina Faso,60.7000007629395,17.77064
Burundi,62.8819007873535,1.126033
Cambodia,70.5279998779297,177.65665
Cameroon,62.442798614502,71.43692
Canada,81.2492980957031,1424.0135
Cape Verde,75.9067993164063,802.3088
Cayman Islands,79.9841003417969,516.6876
Central African Republic,18.817699432373,22.16539
Chad,54.5275001525879,10.511874
Chile,79.1762008666992,3298.5676
China,78.2021026611328,85.882515
Colombia,76.5081024169922,2759.8894
Comoros,66.480598449707,193.00136
Congo,65.0002975463867,64.45622
Cook Islands,75.0786972045898,135.6208
Costa Rica,79.3163986206055,1846.9965
Croatia,78.2779006958008,4810.558
Cuba,77.6290969848633,771.26013
Curacao,76.7286987304688,1645.5355
Cyprus,80.4337005615234,1450.4836
Czechia,79.1648025512695,4107.103
Democratic Republic of Congo,60.9789009094238,14.394957
Denmark,81.2906036376953,1696.1152
Djibouti,65.5401992797852,166.21214
Dominica,71.0805969238281,1107.0055
Dominican Republic,74.2108001708984,390.3574
East Timor,67.3684005737305,100.781494
Ecuador,76.5766983032227,2023.1262
Egypt,71.0096969604492,220.47935
