country,median_age,total_deaths_per_million
Afghanistan,16.7520008087158,197.09776
Albania,35.943000793457,1275.9874
Algeria,27.9829998016357,151.30595
American Samoa,27.9270000457764,702.9877
Andorra,42.8320007324219,1994.4307
Angola,16.3899993896484,54.35663
Anguilla,37.7729988098145,844.9514
Antigua and Barbuda,35.0719985961914,1572.4286
Argentina,31.7390003204346,2880.3354
Armenia,35.814998626709,3049.4155
Aruba,40.7669982910156,2708.921
Australia,37.5120010375977,963.1698
Austria,42.8320007324219,2485.9128
Azerbaijan,32.0620002746582,1005.6038
Bahamas,34.234001159668,2135.6233
Bahrain,31.6830005645752,1001.6564
Bangladesh,24.9899997711182,174.34259
Barbados,38.6520004272461,2100.4236
Belarus,40.1920013427734,775.95264
Belgium,41.1510009765625,2949.6262
Belize,25.5209999084473,1708.294
Benin,17.6459999084473,11.8463545
Bermuda,44.7029991149902,2547.397
Bhutan,28.8099994659424,26.891325
Bolivia,24.3920001983643,1853.8304
Bonaire Sint Eustatius and Saba,39.7729988098145,1430.8647
Bosnia and Herzegovina,44.5589981079102,5119.193
Botswana,22.6040000915527,1148.0002
Brazil,33.5060005187988,3344.2822
British Virgin Islands,37.1199989318848,1669.0137
Brunei,31.2759990692139,399.67148
Bulgaria,44.1539993286133,5679.429
Burkina Faso,17.0410003662109,17.77064
Burundi,15.6719999313354,1.126033
Cambodia,25.5960006713867,177.65665
Cameroon,17.6229991912842,71.43692
Canada,40.2529983520508,1424.0135
Cape Verde,27.32200050354,802.3088
Cayman Islands,37.4990005493164,516.6876
Central African Republic,14.2980003356934,22.16539
Chad,15.1020002365112,10.511874
Chile,35.5260009765625,3215.6138
China,38.5340003967285,85.882515
Colombia,31.1809997558594,2759.8894
Comoros,20.1019992828369,191.8026
Congo,18.2019996643066,64.45622
Cook Islands,34.109001159668,135.6208
Costa Rica,33.5359992980957,1846.9965
Croatia,44.6110000610352,4810.558
Cuba,41.5050010681152,771.26013
Curacao,37.9539985656738,1645.5355
Cyprus,37.3390007019043,1450.4836
Czechia,42.6450004577637,4107.103
Democratic Republic of Congo,15.7659997940063,14.394957
Denmark,41.2159996032715,1696.1152
Djibouti,24.0849990844727,166.21214
Dominica,35.2949981689453,1107.0055
Dominican Republic,27.3169994354248,390.3574
East Timor,20.6399993896484,100.781494
Ecuador,27.9750003814697,2023.1262
Egypt,23.8129997253418,220.47935
El Salvador,26.5100002288818,673.53296
Equatorial Guinea,21.0160007476807,101.466606
Eritrea,18.4050006866455,30.210152
Estonia,41.625,2337.6167
Eswatini,21.7679996490479,1170.7075
Ethiopia,18.5279998779297,60.406296
Falkland Islands,40.935001373291,0
Faroe Islands,37.5379981994629,518.1443
Fiji,27.4750003814697,962.555
Finland,42.5260009765625,2058.7866
France,41.5670013427734,2616.1912
French Guiana,25.2350006103516,1384.4241
French Polynesia,34.1599998474121,2318.216
Gabon,21.4750003814697,126.29847
Gambia,17.9850006103516,141.09766
Georgia,36.6339988708496,4519.6274
Germany,45.023998260498,2080.9473
Ghana,20.7360000610352,44.133858
Gibraltar,38.9480018615723,3002.8435
Greece,45.390998840332,3851.9158
Greenland,33.923999786377,374.90628
Grenada,32.8860015869141,2035.4407
Guadeloupe,45.8629989624023,2654.0022
Guam,30.9799995422363,2536.427
Guatemala,22.2439994812012,1132.0674
Guernsey,43.8800010681152,1050.9803
Guinea,17.8360004425049,33.297436
Guinea-Bissau,18.7329998016357,84.06415
Guyana,25.3040008544922,1596.8103
Haiti,23.25,74.759186
Honduras,23.2059993743896,1062.1299
Hungary,42.9930000305176,5072.536
Iceland,35.7470016479492,489.00012
India,27.6840000152588,374.51825
Indonesia,29.5610008239746,581.20966
Iran,32.3409996032715,1640.1925
Iraq,20.0930004119873,575.78125
Ireland,37.9970016479492,1932.4796
Isle of Man,45.476001739502,1378.5236
Israel,29.0860004425049,1395.8915
Italy,47.1160011291504,3329.8555
Jamaica,31.1529998779297,1279.9606
Japan,48.5480003356934,597.56354
Jersey,42.867000579834,1555.6608
Jordan,23.943000793457,1254.5897
Kazakhstan,29.3479995727539,951.9526
Kenya,19.2719993591309,104.86161
Kiribati,22.5289993286133,183.932
Kosovo,30.8080005645752,1869.6703
Kuwait,33.4630012512207,559.97217
Kyrgyzstan,24.9750003814697,147.21544
Laos,23.9720001220703,88.768265
Latvia,42.9459991455078,4062.0735
Lebanon,28.1060009002686,1905.6515
Lesotho,21.2639999389648,310.13354
Liberia,18.1800003051758,54.71501
Libya,26.9169998168945,891.0818
Liechtenstein,44.0139999389648,2262.4434
Lithuania,42.632999420166,3508.7932
Luxembourg,38.6759986877441,1530.6552
Madagascar,18.7180004119873,46.91618
Malawi,17.3349990844727,130.58656
Malaysia,29.5729999542236,1076.5375
Maldives,30.3390007019043,602.92
Mali,15.3489999771118,32.20264
Malta,39.7459983825684,1777.7559
Marshall Islands,20.9650001525879,424.0036
Martinique,48.2389984130859,3159.1418
Mauritania,16.992000579834,204.48581
Mauritius,36.5130004882813,841.60443
Mayotte,16.6979999542236,612.55444
Mexico,28.5279998779297,2605.0298
Micronesia (country),22.6079998016357,552.9691
Moldova,37.4780006408691,4042.453
Monaco,54.9749984741211,1720.154
Mongolia,26.617000579834,630.83
Montenegro,39.0800018310547,4317.9116
Montserrat,41.3849983215332,1787.31
Morocco,28.875,436.791
Mozambique,16.2490005493164,68.960785
Myanmar,29.2509994506836,362.63324
Namibia,20.8250007629395,1422.3087
Nauru,20.5729999542236,84.58806
Nepal,24.3560009002686,404.97473
Netherlands,41.4630012512207,1283.817
New Caledonia,33.5890007019043,1093.5813
New Zealand,37.068000793457,884.302
Nicaragua,24.9120006561279,36.40058
Niger,15.1020002365112,12.444701
Nigeria,17.5669994354248,14.138414
Niue,36.7210006713867,0
North Korea,35.8050003051758,0
North Macedonia,39.9099998474121,5429.195
Northern Mariana Islands,35.1790008544922,889.3516
Norway,39.4360008239746,1050.4332
Oman,28.9729995727539,978.3881
Pakistan,20.1480007171631,125.79366
Palau,37.484001159668,562.3032
Palestine,19.6049995422363,1075.9105
Panama,29.2730007171631,1999.4205
Papua New Guinea,22.1270008087158,65.665825
Paraguay,26.0450000762939,2940.6284
Peru,29.0960006713867,6603.648
Philippines,24.8659992218018,586.70984
Poland,40.8639984130859,3151.7178
Portugal,45.8059997558594,2834.193
Puerto Rico,45.1969985961914,1832.1664
Qatar,32.4580001831055,238.55077
Reunion,37.064998626709,1056.7465
Romania,42.390998840332,3602.0142
Russia,39.0709991455078,2777.1006
Rwanda,19.2199993133545,107.53771
Saint Barthelemy,38.7070007324219,456.7044
Saint Helena,50.2140007019043,0
Saint Kitts and Nevis,34.9710006713867,984.33624
Saint Lucia,33.3160018920898,2293.1418
Saint Martin (French part),38.4000015258789,1591.7506
Saint Pierre and Miquelon,45.9889984130859,347.22223
Saint Vincent and the Grenadines,33.632999420166,1214.9359
Samoa,20.0909996032715,144.0052
San Marino,46.7820014953613,3693.6064
Sao Tome and Principe,18.8689994812012,353.49274
Saudi Arabia,28.7310009002686,299.7947
Senegal,18.8880004882813,111.72109
Serbia,43.6749992370605,2658.8762
Seychelles,33.3880004882813,1370.1576
Sierra Leone,19.0400009155273,15.102439
Singapore,34.8779983520508,358.23718
Sint Maarten (Dutch part),41.4799995422363,2182.0078
Slovakia,40.9039993286133,3888.4053
Slovenia,43.4970016479492,4686.9585
Solomon Islands,20.0300006866455,254.77707
Somalia,15.371000289917,76.45254
South Africa,27.9190006256104,1644.7195
South Korea,43.9440002441406,693.9408
South Sudan,17.5900001525879,13.337961
Spain,44.3919982910156,2547.6921
Sri Lanka,32.5610008239746,740.39966
Sudan,18.1200008392334,102.1802
Suriname,27.8649997711182,2256.199
Sweden,39.7280006408691,2759.805
Switzerland,41.9609985351563,1611.6594
Syria,21.5879993438721,140.81453
Tajikistan,21.742000579834,12.276292
Tanzania,17.1240005493164,13.073345
Thailand,39.1940002441406,487.79318
Togo,18.7000007629395,31.904097
Tokelau,26.5550003051758,0
Tonga,20.7259998321533,123.74706
Trinidad and Tobago,36.226001739502,2934.643
Tunisia,31.7439994812012,2427.773
Turkey,32.0719985961914,1164.9528
Turkmenistan,25.9309997558594,0
Turks and Caicos Islands,37.8660011291504,893.84985
Tuvalu,24.2560005187988,99.88014
Uganda,16.3379993438721,76.76583
Ukraine,41.451000213623,2678.0098
United Arab Emirates,30.9029998779297,229.34784
United Kingdom,39.5040016174316,3404.4343
United States,37.7200012207031,3596.3882
United States Virgin Islands,44.5709991455078,1525.6411
Uruguay,35.4959983825684,2269.3003
Uzbekistan,26.8360004425049,29.079292
Vanuatu,20.121000289917,44.71972
Vatican,59.875,0
Venezuela,28.8099994659424,207.56378
Vietnam,31.9379997253418,433.44418
Wallis and Futuna,36.5989990234375,782.54065
Yemen,18.1180000305176,56.484497
Zambia,17.2880001068115,202.35266
Zimbabwe,17.6830005645752,357.2082
