country,population_density,total_cases_per_million
Afghanistan,62.2155494689941,5796.4683
Albania,103.197593688965,119257.79
Algeria,19.094181060791,5990.2515
American Samoa,241.824996948242,172831.6
Andorra,169.621276855469,602280.44
Angola,28.5834827423096,3016.3298
Anguilla,157.800003051758,274890.88
Antigua and Barbuda,211.022720336914,98072.16
Argentina,16.5922718048096,222763.39
Armenia,101.19002532959,157840.31
Aruba,598.844421386719,410271.62
Australia,3.4062557220459,452699
Austria,109.848251342773,671099.5
Azerbaijan,124.565116882324,81251.586
Bahamas,39.714485168457,98422.305
Bahrain,1941.08862304688,454275.94
Bangladesh,1301.25903320313,12116.045
Barbados,656.567443847656,386371.7
Belarus,45.1995086669922,108364.33
Belgium,384.472045898438,420915.84
Belize,17.6563358306885,177511.11
Benin,122.024719238281,2037.573
Bermuda,1199.4814453125,291175.2
Bhutan,20.475118637085,80918.555
Bolivia,11.1484870910645,100369.08
Bonaire Sint Eustatius and Saba,88.9875793457031,416067.56
Bosnia and Herzegovina,62.5937881469727,126151.01
Botswana,4.30521583557129,135538.2
Brazil,25.1618671417236,179914.55
British Virgin Islands,255.639999389648,199760.08
Brunei,86.4087295532227,769806.8
Bulgaria,62.8763999938965,196217.7
Burkina Faso,82.2698745727539,986.9813
Burundi,518.734497070313,4096.433
Cambodia,97.4491348266602,8099.5386
Cameroon,58.4560737609863,4535.0864
Canada,4.41717863082886,124134.44
Cape Verde,128.970230102539,124048.1
Cayman Islands,298.375,439491.7
Central African Republic,8.18330955505371,3037.6392
Chad,14.6563844680786,417.33228
Chile,26.2975006103516,276693.1
China,151.805252075195,69732.8
Colombia,46.6317672729492,123725.08
Comoros,448.248779296875,10919.562
Congo,17.6723403930664,4181.2036
Cook Islands,61.4458351135254,500101.72
Costa Rica,99.5253448486328,243796.45
Croatia,69.8182830810547,348703.16
Cuba,106.549346923828,100707.586
Curacao,417.454956054688,247547.88
Cyprus,144.088317871094,761750.6
Czechia,138.277679443359,454472.78
Democratic Republic of Congo,45.1674995422363,986.45496
Denmark,147.572525024414,584381.6
Djibouti,49.0552635192871,13798.247
Dominica,89.1293334960938,240055.66
Dominican Republic,236.282302856445,58865.52
East Timor,92.0846633911133,17132.854
Ecuador,71.7663879394531,60613.613
Egypt,113.133010864258,4582.0547
El Salvador,303.104064941406,32174.496
Equatorial Guinea,64.2976455688477,9497.939
Eritrea,28.1677684783936,2988.4585
Estonia,31.5811233520508,455791.56
Eswatini,70.8675003051758,61821.89
Ethiopia,111.10001373291,3998.2842
Falkland Islands,0.28882497549057,547083.94
Faroe Islands,39.4445266723633,641351.6
Fiji,50.3244667053223,75097.78
Finland,18.3232173919678,271752.1
France,121.042030334473,607504.94
French Guiana,3.60245132446289,328644.84
French Polynesia,80.7801818847656,283360.9
