country,avg_new_deaths_before,avg_new_deaths_after,reduction_after_vaccination
United States,879.456395348837,528.876500857633,350.579894491204
Mexico,432.320954907162,99.4810716365754,332.839883270586
Brazil,568.615577889447,280.51945754717,288.096120342277
Peru,288.274231678487,58.9036505086774,229.37058116981
United Kingdom,272.255376344086,75.3664343786295,196.888941965457
India,382.874384236453,224.109597156398,158.764787080055
Italy,204.877049180328,71.291087962963,133.585961217365
Colombia,140.029953917051,49.3572289156627,90.672725001388
Iran,138.978540772532,50.2346437346437,88.7438970378885
Spain,155.665789473684,69.5110864745011,86.1547029991831
