date,global_total_cases,global_total_deaths
2020-01-01,NULL,NULL
2020-01-02,NULL,NULL
2020-01-03,NULL,NULL
2020-01-04,3,0
2020-01-05,2,3
2020-01-06,5,3
2020-01-07,5,3
2020-01-08,6,3
2020-01-09,6,3
2020-01-10,6,3
2020-01-11,6,3
2020-01-12,47,4
2020-01-13,48,4
2020-01-14,53,4
2020-01-15,53,4
2020-01-16,53,4
2020-01-17,54,5
2020-01-18,58,5
2020-01-19,137,6
2020-01-20,215,7
2020-01-21,308,9
2020-01-22,456,20
2020-01-23,586,21
2020-01-24,857,29
2020-01-25,1330,45
2020-01-26,2032,62
2020-01-27,2822,88
2020-01-28,4597,137
2020-01-29,6070,139
2020-01-30,7828,177
2020-01-31,9834,219
2020-02-01,11952,266
2020-02-02,14566,372
2020-02-03,17402,436
2020-02-04,20649,503
2020-02-05,24591,575
2020-02-06,28303,645
2020-02-07,31458,730
2020-02-08,34859,817
2020-02-09,37558,917
2020-02-10,40551,1024
2020-02-11,43030,1124
2020-02-12,45060,1129
2020-02-13,60228,1382
2020-02-14,64296,1534
2020-02-15,66960,1676
2020-02-16,69000,1781
2020-02-17,71063,1879
2020-02-18,72967,2018
2020-02-19,74766,2131
2020-02-20,75190,2256
2020-02-21,76184,2256
2020-02-22,77252,2465
2020-02-23,78242,2471
2020-02-24,78758,2630
2020-02-25,79556,2709
2020-02-26,80401,2771
2020-02-27,81490,2809
2020-02-28,82692,2866
2020-02-29,84508,2930
2020-03-01,86510,2985
2020-03-02,88450,3053
2020-03-03,90246,3121
2020-03-04,92461,3208
2020-03-05,94626,3297
2020-03-06,97120,3395
2020-03-07,100370,3497
2020-03-08,106716,3635
2020-03-09,109984,3858
2020-03-10,113845,4031
2020-03-11,117770,4300
2020-03-12,123778,4605
2020-03-13,130521,4925
2020-03-14,137837,5326
2020-03-15,167145,6289
2020-03-16,175710,6853
2020-03-17,186064,7441
2020-03-18,197593,8078
2020-03-19,211765,8870
2020-03-20,228796,9693
2020-03-21,249288,10757
2020-03-22,338412,15986
2020-03-23,360852,17179
2020-03-24,387388,18415
2020-03-25,417391,19911
2020-03-26,448665,21509
2020-03-27,486656,23339
2020-03-28,531305,25598
2020-03-29,689774,38270
2020-03-30,732978,40689
2020-03-31,781863,43589
2020-04-01,825761,46615
2020-04-02,877793,50036
2020-04-03,936694,53831
2020-04-04,997479,57962
2020-04-05,1155876,75112
2020-04-06,1215647,79512
2020-04-07,1270298,84390
2020-04-08,1330666,89110
2020-04-09,1394237,94402
2020-04-10,1463847,100106
2020-04-11,1536533,105714
2020-04-12,1679945,122785
